CODMUNDV,NOMEMUN,X,Y
1303569,Rio Preto da Eva,-59.63836,-2.52985
1303601,Santa Isabel do Rio Negro,-65.52133,-0.31836
1303700,Santo Antônio do Içá,-69.08935,-3.0529
1303809,São Gabriel da Cachoeira,-67.99693,0.3749
1303908,São Paulo de Olivença,-69.45111999999999,-4.5014400000000006
1303957,São Sebastião do Uatumã,-58.70254,-1.9460400000000002
1304005,Silves,-58.536269999999995,-2.82213
1304062,Tabatinga,-69.67809,-4.028519999999999
1304104,Tapauá,-64.9558,-6.0937
1304203,Tefé,-65.53154,-4.47011
1304237,Tonantins,-67.82605,-2.69181
1304260,Uarini,-65.41079,-3.16566
1304302,Urucará,-59.029740000000004,-0.8942
1304401,Urucurituba,-57.770430000000005,-2.8124599999999997
1400050,Alto Alegre,-62.75552,3.0782599999999998
1400027,Amajari,-62.43695,3.73291
1400100,Boa Vista,-60.71795,3.1179200000000002
1400159,Bonfim,-60.10018,2.7871
1400175,Cantá,-60.542280000000005,2.27284
1400209,Caracaraí,-61.47205,0.99092
1400233,Caroebe,-59.33814,0.91469
1400282,Iracema,-62.449,2.19048
1400308,Mucajaí,-61.99555,2.51332
1400407,Normandia,-60.06502,3.87911
1400456,Pacaraima,-60.83944,4.16871
1400472,Rorainópolis,-61.0105,0.037739999999999996
1400506,São João da Baliza,-59.84502,0.63578
1400605,São Luiz,-60.15184,0.8844299999999999
1400704,Uiramutã,-60.280840000000005,4.684080000000001
1500107,Abaetetuba,-48.88308,-1.7302799999999998
1500131,Abel Figueiredo,-48.4246,-4.957319999999999
1500206,Acará,-48.41153,-2.03545
1500305,Afuá,-50.72761,-0.26387
1500347,Água Azul do Norte,-50.43016,-6.7729800000000004
1500404,Alenquer,-55.039159999999995,-0.60468
1500503,Almeirim,-53.89359,0.28448
1500602,Altamira,-53.886680000000005,-6.4861699999999995
1500701,Anajás,-49.96128,-0.8270200000000001
1500800,Ananindeua,-48.38357,-1.3340100000000001
1500859,Anapu,-51.30128,-3.9971900000000002
1500909,Augusto Corrêa,-46.50728,-1.10535
1500958,Aurora do Pará,-47.72635,-2.2311799999999997
1501006,Aveiro,-56.0163,-3.66722
1501105,Bagre,-50.18177,-2.3731400000000002
1501204,Baião,-49.69898,-3.1295599999999997
1501253,Bannach,-50.63442,-7.4863800000000005
1501303,Barcarena,-48.63426,-1.49864
1501402,Belém,-48.45991,-1.24072
1501451,Belterra,-54.99285,-3.19113
1501501,Benevides,-48.27562,-1.33962
1501576,Bom Jesus do Tocantins,-48.76351,-5.05427
1501600,Bonito,-47.302279999999996,-1.3872799999999998
1501709,Bragança,-46.76522,-1.19753
1501725,Brasil Novo,-52.6854,-3.2921099999999996
1501758,Brejo Grande do Araguaia,-48.43189,-5.73551
1501782,Breu Branco,-49.37122,-3.73348
1501808,Breves,-50.62816,-1.1210799999999999
1501907,Bujaru,-48.08866,-1.63395
1502004,Cachoeira do Arari,-48.87724,-0.8694200000000001
1501956,Cachoeira do Piriá,-46.44078,-1.9908099999999997
1502103,Cametá,-49.51357,-2.25306
1502152,Canaã dos Carajás,-50.08567,-6.4242099999999995
1502202,Capanema,-47.11945,-1.1432
1502301,Capitão Poço,-47.23417,-2.04377
1502400,Castanhal,-47.877,-1.26894
1502509,Chaves,-49.82928,-0.029519999999999998
1502608,Colares,-48.28465,-0.90394
1502707,Conceição do Araguaia,-49.51271,-8.18249
1502756,Concórdia do Pará,-47.97482,-1.88398
1502764,Cumaru do Norte,-51.22104,-8.458169999999999
1502772,Curionópolis,-49.62461,-6.22893
1502806,Curralinho,-49.98803,-1.58346
1502855,Curuá,-55.113490000000006,-1.8457400000000002
1502905,Curuçá,-47.8632,-0.74295
1502939,Dom Eliseu,-47.898109999999996,-4.18658
1502954,Eldorado do Carajás,-49.24544,-6.06965
1503002,Faro,-57.80604,-1.1590799999999999
1503044,Floresta do Araguaia,-49.576029999999996,-7.5483199999999995
1503077,Garrafão do Norte,-47.07528,-2.16796
1503093,Goianésia do Pará,-49.005720000000004,-4.02719
1503101,Gurupá,-51.55516,-1.15186
1503200,Igarapé-Açu,-47.56599,-1.1450200000000001
1503309,Igarapé-Miri,-49.13074,-2.06271
1503408,Inhangapi,-47.92282,-1.46492
1503457,Ipixuna do Pará,-47.92155,-2.80578
1503507,Irituia,-47.39938,-1.8123200000000002
1503606,Itaituba,-56.496719999999996,-5.8711400000000005
1503705,Itupiranga,-49.86971,-5.11482
1503754,Jacareacanga,-57.30271,-7.445289999999999
1503804,Jacundá,-49.1812,-4.59853
1503903,Juruti,-56.22136999999999,-2.62288
1504000,Limoeiro do Ajuru,-49.46914,-1.86427
1504059,Mãe do Rio,-47.51258,-1.9911599999999998
